procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VDS,VG end,VG start,VG step,Start time,file_idx,T step start time,Initial (current) T,Laser ON+OFF period,Sampling time (excluding Keithley),Target T,VG,N_avg,Optical fiber,Laser voltage end,Laser voltage start,Laser voltage step,Sensor model
laser_setup.procedures.It.It,It,1757098982.6950347,2025-09-05T15:03:02.695035,It2025-09-05_31.csv,0.001 A,1,,Alisson,71,365 -  biotite,1 V,365,2.2.0,other,,0.1 V,,,,1757098982.6950347,31,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
laser_setup.procedures.It.It,It,1757099643.0667238,2025-09-05T15:14:03.066724,It2025-09-05_32.csv,0.001 A,1,,Alisson,71,365 -  biotite,2 V,365,2.2.0,other,,0.1 V,,,,1757099643.0667238,32,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
laser_setup.procedures.It.It,It,1757099830.2791784,2025-09-05T15:17:10.279178,It2025-09-05_33.csv,0.001 A,1,,Alisson,71,365 -  biotite,3 V,365,2.2.0,other,,0.1 V,,,,1757099830.2791784,33,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
laser_setup.procedures.It.It,It,1757100017.28169,2025-09-05T15:20:17.281690,It2025-09-05_34.csv,0.001 A,1,,Alisson,71,365 -  biotite,4 V,365,2.2.0,other,,0.1 V,,,,1757100017.28169,34,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
laser_setup.procedures.It.It,It,1757100204.609542,2025-09-05T15:23:24.609542,It2025-09-05_35.csv,0.001 A,1,,Alisson,71,365 -  biotite,5 V,365,2.2.0,other,,0.1 V,,,,1757100204.609542,35,120 s,0 C,120 s,0 s,25 C,3 V,,,,,,
laser_setup.procedures.It.It,It,1757100391.660886,2025-09-05T15:26:31.660886,It2025-09-05_36.csv,0.001 A,1,,Alisson,71,365 -  biotite,1 V,365,2.2.0,other,,0.1 V,,,,1757100391.660886,36,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757100580.1583772,2025-09-05T15:29:40.158377,It2025-09-05_37.csv,0.001 A,1,,Alisson,71,365 -  biotite,2 V,365,2.2.0,other,,0.1 V,,,,1757100580.1583772,37,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757100768.3910058,2025-09-05T15:32:48.391006,It2025-09-05_38.csv,0.001 A,1,,Alisson,71,365 -  biotite,3 V,365,2.2.0,other,,0.1 V,,,,1757100768.3910058,38,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757100956.9886005,2025-09-05T15:35:56.988600,It2025-09-05_39.csv,0.001 A,1,,Alisson,71,365 -  biotite,4 V,365,2.2.0,other,,0.1 V,,,,1757100956.9886005,39,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.It.It,It,1757101145.2068858,2025-09-05T15:39:05.206886,It2025-09-05_40.csv,0.001 A,1,,Alisson,71,365 -  biotite,5 V,365,2.2.0,other,,0.1 V,,,,1757101145.2068858,40,120 s,0 C,120 s,0 s,25 C,5 V,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757101560.6086628,2025-09-05T15:46:00.608663,IVg2025-09-05_8.csv,0.001 A,1,0 s,Alisson,71,after uv illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757101560.6086628,8,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757101852.7355077,2025-09-05T15:50:52.735508,IVg2025-09-05_9.csv,0.001 A,1,0 s,Alisson,71,after uv illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757101852.7355077,9,,,,,,,,,,,,
laser_setup.procedures.IVg.IVg,IVg,1757103340.5451238,2025-09-05T16:15:40.545124,IVg2025-09-05_10.csv,0.001 A,1,0 s,Alisson,71,after uv illumination - biotite,0 V,455,2.1.0,other,0 s,0.1 V,5 V,-5 V,0.05 V,1757103340.5451238,10,,,,,,,,,,,,
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757104015.084334,2025-09-05T16:26:55.084334,LaserCalibration2025-09-05_1.csv,,,,,,365,,365,1.1.1,,2 s,,,,,1757104015.084334,1,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
laser_setup.procedures.LaserCalibration.LaserCalibration,LaserCalibration,1757104197.5775669,2025-09-05T16:29:57.577567,LaserCalibration2025-09-05_2.csv,,,,,,455,,455,1.1.1,,2 s,,,,,1757104197.5775669,2,,,,,,,2,F1 (M92L02),5 V,0 V,0.1 V,S120VC
