seq,date,time_hms,proc,summary,source_file,file_idx,start_time,day_folder
64,2025-09-23,15:58:09,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=2.12 V  λ=385.0 nm  period=120.0 s  #35,raw_data/Alisson_23_sept/It2025-09-23_35.csv,35,1758653889.3423672,Alisson_23_sept
65,2025-09-23,16:01:11,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=2.12 V  λ=385.0 nm  period=120.0 s  #36,raw_data/Alisson_23_sept/It2025-09-23_36.csv,36,1758654071.8091717,Alisson_23_sept
66,2025-09-23,16:04:22,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #25,raw_data/Alisson_23_sept/IVg2025-09-23_25.csv,25,1758654262.2586806,Alisson_23_sept
67,2025-09-23,16:09:28,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #26,raw_data/Alisson_23_sept/IVg2025-09-23_26.csv,26,1758654568.1407356,Alisson_23_sept
68,2025-09-23,16:11:09,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=3.0 V  λ=405.0 nm  period=120.0 s  #37,raw_data/Alisson_23_sept/It2025-09-23_37.csv,37,1758654669.2107105,Alisson_23_sept
69,2025-09-23,16:14:09,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=3.0 V  λ=405.0 nm  period=120.0 s  #38,raw_data/Alisson_23_sept/It2025-09-23_38.csv,38,1758654849.5928066,Alisson_23_sept
70,2025-09-23,16:18:16,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #27,raw_data/Alisson_23_sept/IVg2025-09-23_27.csv,27,1758655096.5710568,Alisson_23_sept
71,2025-09-23,16:26:28,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #28,raw_data/Alisson_23_sept/IVg2025-09-23_28.csv,28,1758655588.8781574,Alisson_23_sept
72,2025-09-23,16:31:01,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #29,raw_data/Alisson_23_sept/IVg2025-09-23_29.csv,29,1758655861.8494108,Alisson_23_sept
73,2025-09-23,16:32:47,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=1.35 V  λ=455.0 nm  period=120.0 s  #39,raw_data/Alisson_23_sept/It2025-09-23_39.csv,39,1758655967.601789,Alisson_23_sept
74,2025-09-23,16:35:53,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=1.35 V  λ=455.0 nm  period=120.0 s  #40,raw_data/Alisson_23_sept/It2025-09-23_40.csv,40,1758656153.2641077,Alisson_23_sept
75,2025-09-23,16:43:11,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #30,raw_data/Alisson_23_sept/IVg2025-09-23_30.csv,30,1758656591.1026626,Alisson_23_sept
76,2025-09-23,16:44:20,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=1.7 V  λ=505.0 nm  period=120.0 s  #41,raw_data/Alisson_23_sept/It2025-09-23_41.csv,41,1758656660.4579833,Alisson_23_sept
77,2025-09-23,16:47:25,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=1.7 V  λ=505.0 nm  period=120.0 s  #42,raw_data/Alisson_23_sept/It2025-09-23_42.csv,42,1758656845.888848,Alisson_23_sept
78,2025-09-23,16:53:37,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #31,raw_data/Alisson_23_sept/IVg2025-09-23_31.csv,31,1758657217.7218604,Alisson_23_sept
79,2025-09-23,16:58:19,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #32,raw_data/Alisson_23_sept/IVg2025-09-23_32.csv,32,1758657499.019645,Alisson_23_sept
80,2025-09-23,16:59:48,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #43,raw_data/Alisson_23_sept/It2025-09-23_43.csv,43,1758657588.931481,Alisson_23_sept
81,2025-09-23,17:02:54,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=1.57 V  λ=565.0 nm  period=120.0 s  #44,raw_data/Alisson_23_sept/It2025-09-23_44.csv,44,1758657774.2948163,Alisson_23_sept
82,2025-09-23,17:17:16,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #33,raw_data/Alisson_23_sept/IVg2025-09-23_33.csv,33,1758658636.0761695,Alisson_23_sept
83,2025-09-23,17:21:04,It,💡 It  Alisson72  VG=-0.3 V  VDS=0.1 V  VL=4.35 V  λ=590.0 nm  period=120.0 s  #45,raw_data/Alisson_23_sept/It2025-09-23_45.csv,45,1758658864.8508022,Alisson_23_sept
84,2025-09-23,17:24:10,It,💡 It  Alisson72  VG=0.3 V  VDS=0.1 V  VL=4.35 V  λ=590.0 nm  period=120.0 s  #46,raw_data/Alisson_23_sept/It2025-09-23_46.csv,46,1758659050.516418,Alisson_23_sept
85,2025-09-23,17:28:51,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #34,raw_data/Alisson_23_sept/IVg2025-09-23_34.csv,34,1758659331.217738,Alisson_23_sept
86,2025-09-23,17:40:05,IVg,IVg Alisson72  VDS=0.1 V  VG:-5.0→5.0 (step 0.05)  #36,raw_data/Alisson_23_sept/IVg2025-09-23_36.csv,36,1758660005.354976,Alisson_23_sept
